Session,matchId,roundId,groupId,clientId,payoff,gameType,role,playOrderPosition,action,actionTime,action-of-Subject-0,action-of-Subject-1,action-of-Subject-2,playOrder.0,playOrder.1,playOrder.2,displayOrder.0,displayOrder.1,displayOrder.2,view.0.playerindex,view.0.actionindex,view.0.duration,view.0.startTime,view.1.playerindex,view.1.actionindex,view.1.duration,view.1.startTime,view.2.playerindex,view.2.actionindex,view.2.duration,view.2.startTime,view.3.playerindex,view.3.actionindex,view.3.duration,view.3.startTime,view.4.playerindex,view.4.actionindex,view.4.duration,view.4.startTime,view.5.playerindex,view.5.actionindex,view.5.duration,view.5.startTime,view.6.playerindex,view.6.actionindex,view.6.duration,view.6.startTime,view.7.playerindex,view.7.actionindex,view.7.duration,view.7.startTime,view.8.playerindex,view.8.actionindex,view.8.duration,view.8.startTime,view.9.playerindex,view.9.actionindex,view.9.duration,view.9.startTime,view.10.playerindex,view.10.actionindex,view.10.duration,view.10.startTime,view.11.playerindex,view.11.actionindex,view.11.duration,view.11.startTime,view.12.playerindex,view.12.actionindex,view.12.duration,view.12.startTime,view.13.playerindex,view.13.actionindex,view.13.duration,view.13.startTime,view.14.playerindex,view.14.actionindex,view.14.duration,view.14.startTime,view.15.playerindex,view.15.actionindex,view.15.duration,view.15.startTime,view.16.playerindex,view.16.actionindex,view.16.duration,view.16.startTime,view.17.playerindex,view.17.actionindex,view.17.duration,view.17.startTime,view.18.playerindex,view.18.actionindex,view.18.duration,view.18.startTime,view.19.playerindex,view.19.actionindex,view.19.duration,view.19.startTime,view.20.playerindex,view.20.actionindex,view.20.duration,view.20.startTime,view.21.playerindex,view.21.actionindex,view.21.duration,view.21.startTime,view.22.playerindex,view.22.actionindex,view.22.duration,view.22.startTime,view.23.playerindex,view.23.actionindex,view.23.duration,view.23.startTime,view.24.playerindex,view.24.actionindex,view.24.duration,view.24.startTime,view.25.playerindex,view.25.actionindex,view.25.duration,view.25.startTime,view.26.playerindex,view.26.actionindex,view.26.duration,view.26.startTime,view.27.playerindex,view.27.actionindex,view.27.duration,view.27.startTime,view.28.playerindex,view.28.actionindex,view.28.duration,view.28.startTime,view.29.playerindex,view.29.actionindex,view.29.duration,view.29.startTime,view.30.playerindex,view.30.actionindex,view.30.duration,view.30.startTime,view.31.playerindex,view.31.actionindex,view.31.duration,view.31.startTime,view.32.playerindex,view.32.actionindex,view.32.duration,view.32.startTime,view.33.playerindex,view.33.actionindex,view.33.duration,view.33.startTime,view.34.playerindex,view.34.actionindex,view.34.duration,view.34.startTime,view.35.playerindex,view.35.actionindex,view.35.duration,view.35.startTime,view.36.playerindex,view.36.actionindex,view.36.duration,view.36.startTime,view.37.playerindex,view.37.actionindex,view.37.duration,view.37.startTime,view.38.playerindex,view.38.actionindex,view.38.duration,view.38.startTime,view.39.playerindex,view.39.actionindex,view.39.duration,view.39.startTime,view.40.playerindex,view.40.actionindex,view.40.duration,view.40.startTime,view.41.playerindex,view.41.actionindex,view.41.duration,view.41.startTime,view.42.playerindex,view.42.actionindex,view.42.duration,view.42.startTime,view.43.playerindex,view.43.actionindex,view.43.duration,view.43.startTime,view.44.playerindex,view.44.actionindex,view.44.duration,view.44.startTime,view.45.playerindex,view.45.actionindex,view.45.duration,view.45.startTime,view.46.playerindex,view.46.actionindex,view.46.duration,view.46.startTime,view.47.playerindex,view.47.actionindex,view.47.duration,view.47.startTime,view.48.playerindex,view.48.actionindex,view.48.duration,view.48.startTime,view.49.playerindex,view.49.actionindex,view.49.duration,view.49.startTime,view.50.playerindex,view.50.actionindex,view.50.duration,view.50.startTime,view.51.playerindex,view.51.actionindex,view.51.duration,view.51.startTime,view.52.playerindex,view.52.actionindex,view.52.duration,view.52.startTime,view.53.playerindex,view.53.actionindex,view.53.duration,view.53.startTime,view.54.playerindex,view.54.actionindex,view.54.duration,view.54.startTime,view.55.playerindex,view.55.actionindex,view.55.duration,view.55.startTime,view.56.playerindex,view.56.actionindex,view.56.duration,view.56.startTime,view.57.playerindex,view.57.actionindex,view.57.duration,view.57.startTime,view.58.playerindex,view.58.actionindex,view.58.duration,view.58.startTime,view.59.playerindex,view.59.actionindex,view.59.duration,view.59.startTime,view.60.playerindex,view.60.actionindex,view.60.duration,view.60.startTime,questionRound.0.question.0.wrongAnswer.0,questionRound.0.question.0.wrongAnswer.1,questionRound.0.question.5.wrongAnswer.0,view.61.playerindex,view.61.actionindex,view.61.duration,view.61.startTime,view.62.playerindex,view.62.actionindex,view.62.duration,view.62.startTime,view.63.playerindex,view.63.actionindex,view.63.duration,view.63.startTime,view.64.playerindex,view.64.actionindex,view.64.duration,view.64.startTime,view.65.playerindex,view.65.actionindex,view.65.duration,view.65.startTime,questionRound.0.question.4.wrongAnswer.0,view.66.playerindex,view.66.actionindex,view.66.duration,view.66.startTime,view.67.playerindex,view.67.actionindex,view.67.duration,view.67.startTime,view.68.playerindex,view.68.actionindex,view.68.duration,view.68.startTime,view.69.playerindex,view.69.actionindex,view.69.duration,view.69.startTime,view.70.playerindex,view.70.actionindex,view.70.duration,view.70.startTime,view.71.playerindex,view.71.actionindex,view.71.duration,view.71.startTime,view.72.playerindex,view.72.actionindex,view.72.duration,view.72.startTime,view.73.playerindex,view.73.actionindex,view.73.duration,view.73.startTime,view.74.playerindex,view.74.actionindex,view.74.duration,view.74.startTime,view.75.playerindex,view.75.actionindex,view.75.duration,view.75.startTime,view.76.playerindex,view.76.actionindex,view.76.duration,view.76.startTime,view.77.playerindex,view.77.actionindex,view.77.duration,view.77.startTime,view.78.playerindex,view.78.actionindex,view.78.duration,view.78.startTime,view.79.playerindex,view.79.actionindex,view.79.duration,view.79.startTime,view.80.playerindex,view.80.actionindex,view.80.duration,view.80.startTime,view.81.playerindex,view.81.actionindex,view.81.duration,view.81.startTime,view.82.playerindex,view.82.actionindex,view.82.duration,view.82.startTime,view.83.playerindex,view.83.actionindex,view.83.duration,view.83.startTime,view.84.playerindex,view.84.actionindex,view.84.duration,view.84.startTime,view.85.playerindex,view.85.actionindex,view.85.duration,view.85.startTime,view.86.playerindex,view.86.actionindex,view.86.duration,view.86.startTime,view.87.playerindex,view.87.actionindex,view.87.duration,view.87.startTime,view.88.playerindex,view.88.actionindex,view.88.duration,view.88.startTime,view.89.playerindex,view.89.actionindex,view.89.duration,view.89.startTime,view.90.playerindex,view.90.actionindex,view.90.duration,view.90.startTime,view.91.playerindex,view.91.actionindex,view.91.duration,view.91.startTime,view.92.playerindex,view.92.actionindex,view.92.duration,view.92.startTime,view.93.playerindex,view.93.actionindex,view.93.duration,view.93.startTime,view.94.playerindex,view.94.actionindex,view.94.duration,view.94.startTime,view.95.playerindex,view.95.actionindex,view.95.duration,view.95.startTime,action-of-Subject-3,playOrder.3,displayOrder.3,questionRound.0.question.0.answer,questionRound.0.question.1.answer,questionRound.0.question.2.answer,questionRound.0.question.3.answer,questionRound.0.question.4.answer,questionRound.0.question.5.answer,questionRound.0.question.6.answer,questionRound.0.question.7.answer,questionRound.0.question.8.answer,questionRound.0.question.9.answer
10,1,0,0,2,12,SIMULTANEOUS,Red,0,0,20358,0,1,1,0,1,3,0,1,3,0,0,843,3166,0,1,437,4336,0,2,312,5023,0,3,422,5506,0,0,234,6505,0,1,109,6942,0,2,125,7316,0,3,156,7659,1,0,172,8174,1,1,234,8564,1,2,297,9250,1,3,639,10249,1,2,156,11200,1,0,172,11559,1,1,94,11918,1,2,218,12246,1,3,281,12823,1,2,140,13260,1,0,203,13681,1,1,1591,14024,0,0,1061,16894,0,2,421,18174,0,0,780,18876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,,,,,,,,,,
10,1,0,0,3,20,SIMULTANEOUS,Blue,3,1,23400,0,1,1,0,1,3,0,1,3,3,2,2106,6100,3,3,733,8487,3,0,359,9563,3,1,530,10125,2,0,405,11404,0,0,452,14337,0,2,296,14961,0,3,281,15460,0,1,312,15897,0,0,452,16443,0,2,296,17051,0,3,328,17503,0,0,1154,18081,3,0,312,20296,3,2,780,20811,3,3,266,21949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,,,,,,,,,,
10,1,0,0,7,5,SIMULTANEOUS,Green,1,1,87688,0,1,1,0,1,3,0,1,3,1,0,453,17971,1,2,561,19313,1,1,359,20966,1,3,436,21856,1,0,359,25038,1,1,921,26161,1,0,514,28018,1,1,592,28876,1,2,421,30046,1,3,765,30841,2,0,437,37190,2,2,499,38095,2,1,281,38953,2,3,499,39577,1,1,780,42229,3,0,358,47253,3,2,297,47970,3,1,234,48594,3,3,436,49125,2,1,577,51246,2,0,297,52104,2,2,234,52713,2,3,188,53227,2,1,1311,53820,1,0,437,57673,1,2,406,58531,1,1,1263,60076,1,0,281,62119,1,2,874,62681,3,0,234,65161,3,2,234,65629,3,1,390,66253,3,3,421,66924,0,0,530,70325,0,2,203,71105,0,1,141,71604,0,3,515,71994,0,0,187,75348,3,0,234,77345,3,2,405,77907,2,1,327,80403,2,3,390,81011,1,0,499,83616,1,2,375,86034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,,,,,,,,,,
10,1,0,0,8,10,SIMULTANEOUS,Orange,2,1,39000,0,1,1,0,1,3,0,1,3,2,2,874,3681,2,0,390,4867,2,1,297,5428,2,3,359,5959,2,1,234,8283,2,0,171,8736,2,2,156,9157,2,3,1138,9516,2,1,358,10998,2,0,250,11528,2,2,249,11934,2,3,639,12324,2,1,234,13135,2,1,250,13509,2,0,218,13868,2,2,234,14289,2,3,296,14664,2,1,156,15163,2,0,140,15506,2,2,94,15849,3,0,312,17487,3,2,250,18002,3,3,234,18532,3,1,717,19032,3,3,125,19952,3,2,171,20280,2,3,109,20826,2,2,1186,21184,3,0,266,24460,3,1,281,24928,3,3,156,25474,3,2,639,25896,3,0,250,27393,3,1,141,27892,3,3,140,28298,3,2,266,28672,3,0,171,29125,3,1,374,29515,2,0,546,30466,2,2,312,31184,2,3,312,31699,2,1,250,32198,2,0,390,32666,2,3,125,33477,2,2,234,34023,2,1,172,34616,3,0,171,35131,3,1,280,35490,3,3,218,35989,3,2,219,36394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,,,,,,,,,,
10,1,0,1,1,20,SIMULTANEOUS,Orange,2,1,62915,0,0,1,0,1,3,0,1,3,2,1,1201,4071,2,1,858,6895,2,0,546,8658,2,2,405,9469,2,3,515,10358,2,2,3120,11122,2,3,889,14492,2,2,983,15849,3,0,390,17300,3,1,608,17893,3,2,343,19047,3,3,203,19546,3,3,1029,21606,2,3,749,23493,2,2,811,24476,2,0,343,25490,2,1,10499,26005,2,0,1887,38095,2,1,343,42057,2,2,437,42634,2,1,1217,43258,2,1,327,45630,2,1,593,47611,2,2,375,48921,2,3,422,49389,2,2,2418,50029,3,2,390,52931,3,3,344,53523,3,1,281,54116,3,0,328,54615,3,2,406,55629,3,3,733,56222,3,2,250,57189,3,0,344,57969,3,1,109,58469,3,3,125,58812,3,2,437,59186,2,0,422,60465,2,1,780,61105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,,,,,,,,,,
10,1,0,1,5,4,SIMULTANEOUS,Green,1,0,45771,0,0,1,0,1,3,0,1,3,1,2,4072,7410,1,3,764,11919,1,0,406,15101,1,1,1919,15756,1,2,156,18065,1,1,234,18642,1,2,124,19220,1,3,187,19625,1,0,156,20358,1,2,140,21326,1,1,140,21747,1,0,140,22324,1,1,795,25803,1,0,1544,27550,1,0,296,31466,1,2,483,33291,1,1,374,34102,1,3,2902,34710,1,0,156,38033,1,2,686,38548,1,1,421,39734,1,0,172,40404,1,2,141,40841,1,1,124,41762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,,,,,,,,,,
10,1,0,1,9,28,SIMULTANEOUS,Red,0,0,49249,0,0,1,0,1,3,0,1,3,0,0,453,8517,0,1,406,9266,0,2,234,9984,0,3,421,10436,1,0,249,11700,1,1,265,12246,1,0,250,12854,1,2,172,13275,1,3,219,13665,2,0,94,14492,2,1,140,15444,2,2,109,15927,2,2,94,16395,2,3,250,18298,3,0,156,19016,3,1,109,19437,3,3,94,19858,3,2,250,20264,0,0,93,25038,0,1,156,25537,0,2,172,26145,0,3,124,26598,0,0,202,27066,0,1,187,27783,0,3,156,28360,0,2,687,28906,1,0,202,34008,1,1,187,34429,1,2,140,34928,1,3,327,35365,1,1,6505,35958,0,0,421,43056,0,1,202,43680,0,3,93,44148,0,2,234,44475,0,0,1294,44928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,,,,,,,,,,
10,1,0,1,11,20,SIMULTANEOUS,Blue,3,0,50965,0,0,1,0,1,3,0,1,3,3,0,2776,4212,3,1,327,7488,3,2,234,8112,3,3,874,8782,3,2,561,10062,3,0,936,11044,3,1,1747,12542,3,0,921,14788,3,2,327,19500,3,3,125,20108,3,3,156,20467,3,2,156,21091,3,0,250,21512,3,1,827,22027,3,0,2340,23712,2,1,327,26395,3,0,109,27237,0,0,156,28828,0,1,656,29296,0,0,421,30217,3,0,406,31402,0,2,125,33399,0,3,281,33789,0,0,124,34320,0,1,156,34834,3,0,141,36004,3,1,421,37596,3,3,94,38360,3,1,94,38828,3,0,78,39234,3,2,125,39514,3,3,281,40232,3,2,125,40747,3,0,2652,41839,3,2,296,46004,3,3,141,46893,3,0,515,47767,3,1,499,48656,3,2,140,49452,3,3,93,49873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,,,,,,,,,,
10,1,0,2,0,20,SIMULTANEOUS,Orange,2,1,39718,1,0,1,0,1,3,0,1,3,2,0,609,7940,2,2,484,9360,2,0,124,11872,2,2,94,12355,2,3,109,12730,2,1,124,13354,3,0,593,19079,3,2,749,20342,3,3,328,21684,3,1,374,22308,3,0,297,22963,3,2,109,24024,2,1,1544,25522,2,3,530,27472,3,2,218,31980,3,3,218,32495,3,0,172,33056,3,1,171,33431,3,2,390,36098,3,3,125,36691,2,1,141,37580,2,3,141,38126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,,,,,,,,,,
10,1,0,2,4,10,SIMULTANEOUS,Red,0,1,54038,1,0,1,0,1,3,0,1,3,0,0,421,8377,0,1,296,9204,0,2,265,10093,0,3,171,10639,0,0,140,11450,0,0,827,14632,3,0,156,21262,3,2,140,21824,3,3,109,22308,3,1,140,22729,3,3,125,23306,3,2,140,23774,3,3,140,24398,3,3,639,26286,3,2,156,27362,3,0,141,27939,3,2,109,28501,3,1,109,29328,3,3,125,29733,3,2,140,30248,3,3,109,31122,0,2,359,39280,0,0,156,39920,0,1,109,40388,0,3,249,40825,0,3,1748,43180,0,0,172,46238,0,2,140,46800,0,1,125,47439,0,3,125,48001,0,2,422,48562,0,1,109,49389,0,0,78,49795,0,3,141,50169,3,2,94,51027,3,0,94,51433,3,1,62,51792,3,3,125,52104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,,,,,,,,,,
