Session,matchId,roundId,groupId,clientId,payoff,gameType,role,playOrderPosition,action,actionTime,action-of-Subject-0,action-of-Subject-1,action-of-Subject-2,playOrder.0,playOrder.1,playOrder.2,displayOrder.0,displayOrder.1,displayOrder.2,view.0.playerindex,view.0.actionindex,view.0.duration,view.0.startTime,view.1.playerindex,view.1.actionindex,view.1.duration,view.1.startTime,view.2.playerindex,view.2.actionindex,view.2.duration,view.2.startTime,view.3.playerindex,view.3.actionindex,view.3.duration,view.3.startTime,view.4.playerindex,view.4.actionindex,view.4.duration,view.4.startTime,view.5.playerindex,view.5.actionindex,view.5.duration,view.5.startTime,view.6.playerindex,view.6.actionindex,view.6.duration,view.6.startTime,view.7.playerindex,view.7.actionindex,view.7.duration,view.7.startTime,view.8.playerindex,view.8.actionindex,view.8.duration,view.8.startTime,view.9.playerindex,view.9.actionindex,view.9.duration,view.9.startTime,view.10.playerindex,view.10.actionindex,view.10.duration,view.10.startTime,view.11.playerindex,view.11.actionindex,view.11.duration,view.11.startTime,view.12.playerindex,view.12.actionindex,view.12.duration,view.12.startTime,view.13.playerindex,view.13.actionindex,view.13.duration,view.13.startTime,view.14.playerindex,view.14.actionindex,view.14.duration,view.14.startTime,view.15.playerindex,view.15.actionindex,view.15.duration,view.15.startTime,view.16.playerindex,view.16.actionindex,view.16.duration,view.16.startTime,view.17.playerindex,view.17.actionindex,view.17.duration,view.17.startTime,view.18.playerindex,view.18.actionindex,view.18.duration,view.18.startTime,view.19.playerindex,view.19.actionindex,view.19.duration,view.19.startTime,view.20.playerindex,view.20.actionindex,view.20.duration,view.20.startTime,view.21.playerindex,view.21.actionindex,view.21.duration,view.21.startTime,view.22.playerindex,view.22.actionindex,view.22.duration,view.22.startTime,view.23.playerindex,view.23.actionindex,view.23.duration,view.23.startTime,questionRound.0.question.0.wrongAnswer.0,view.24.playerindex,view.24.actionindex,view.24.duration,view.24.startTime,view.25.playerindex,view.25.actionindex,view.25.duration,view.25.startTime,view.26.playerindex,view.26.actionindex,view.26.duration,view.26.startTime,view.27.playerindex,view.27.actionindex,view.27.duration,view.27.startTime,view.28.playerindex,view.28.actionindex,view.28.duration,view.28.startTime,view.29.playerindex,view.29.actionindex,view.29.duration,view.29.startTime,view.30.playerindex,view.30.actionindex,view.30.duration,view.30.startTime,view.31.playerindex,view.31.actionindex,view.31.duration,view.31.startTime,view.32.playerindex,view.32.actionindex,view.32.duration,view.32.startTime,view.33.playerindex,view.33.actionindex,view.33.duration,view.33.startTime,view.34.playerindex,view.34.actionindex,view.34.duration,view.34.startTime,view.35.playerindex,view.35.actionindex,view.35.duration,view.35.startTime,view.36.playerindex,view.36.actionindex,view.36.duration,view.36.startTime,view.37.playerindex,view.37.actionindex,view.37.duration,view.37.startTime,view.38.playerindex,view.38.actionindex,view.38.duration,view.38.startTime,view.39.playerindex,view.39.actionindex,view.39.duration,view.39.startTime,view.40.playerindex,view.40.actionindex,view.40.duration,view.40.startTime,view.41.playerindex,view.41.actionindex,view.41.duration,view.41.startTime,view.42.playerindex,view.42.actionindex,view.42.duration,view.42.startTime,view.43.playerindex,view.43.actionindex,view.43.duration,view.43.startTime,view.44.playerindex,view.44.actionindex,view.44.duration,view.44.startTime,view.45.playerindex,view.45.actionindex,view.45.duration,view.45.startTime,view.46.playerindex,view.46.actionindex,view.46.duration,view.46.startTime,view.47.playerindex,view.47.actionindex,view.47.duration,view.47.startTime,view.48.playerindex,view.48.actionindex,view.48.duration,view.48.startTime,view.49.playerindex,view.49.actionindex,view.49.duration,view.49.startTime,view.50.playerindex,view.50.actionindex,view.50.duration,view.50.startTime,view.51.playerindex,view.51.actionindex,view.51.duration,view.51.startTime,view.52.playerindex,view.52.actionindex,view.52.duration,view.52.startTime,view.53.playerindex,view.53.actionindex,view.53.duration,view.53.startTime,view.54.playerindex,view.54.actionindex,view.54.duration,view.54.startTime,view.55.playerindex,view.55.actionindex,view.55.duration,view.55.startTime,view.56.playerindex,view.56.actionindex,view.56.duration,view.56.startTime,view.57.playerindex,view.57.actionindex,view.57.duration,view.57.startTime,view.58.playerindex,view.58.actionindex,view.58.duration,view.58.startTime,view.59.playerindex,view.59.actionindex,view.59.duration,view.59.startTime,view.60.playerindex,view.60.actionindex,view.60.duration,view.60.startTime,view.61.playerindex,view.61.actionindex,view.61.duration,view.61.startTime,view.62.playerindex,view.62.actionindex,view.62.duration,view.62.startTime,view.63.playerindex,view.63.actionindex,view.63.duration,view.63.startTime,view.64.playerindex,view.64.actionindex,view.64.duration,view.64.startTime,view.65.playerindex,view.65.actionindex,view.65.duration,view.65.startTime,view.66.playerindex,view.66.actionindex,view.66.duration,view.66.startTime,action-of-Subject-3,playOrder.3,displayOrder.3,view.67.playerindex,view.67.actionindex,view.67.duration,view.67.startTime,view.68.playerindex,view.68.actionindex,view.68.duration,view.68.startTime,view.69.playerindex,view.69.actionindex,view.69.duration,view.69.startTime,view.70.playerindex,view.70.actionindex,view.70.duration,view.70.startTime,view.71.playerindex,view.71.actionindex,view.71.duration,view.71.startTime,view.72.playerindex,view.72.actionindex,view.72.duration,view.72.startTime,view.73.playerindex,view.73.actionindex,view.73.duration,view.73.startTime,view.74.playerindex,view.74.actionindex,view.74.duration,view.74.startTime,view.75.playerindex,view.75.actionindex,view.75.duration,view.75.startTime,view.76.playerindex,view.76.actionindex,view.76.duration,view.76.startTime,view.77.playerindex,view.77.actionindex,view.77.duration,view.77.startTime,view.78.playerindex,view.78.actionindex,view.78.duration,view.78.startTime,view.79.playerindex,view.79.actionindex,view.79.duration,view.79.startTime,view.80.playerindex,view.80.actionindex,view.80.duration,view.80.startTime,view.81.playerindex,view.81.actionindex,view.81.duration,view.81.startTime,view.82.playerindex,view.82.actionindex,view.82.duration,view.82.startTime,view.83.playerindex,view.83.actionindex,view.83.duration,view.83.startTime,view.84.playerindex,view.84.actionindex,view.84.duration,view.84.startTime,view.85.playerindex,view.85.actionindex,view.85.duration,view.85.startTime,view.86.playerindex,view.86.actionindex,view.86.duration,view.86.startTime,view.87.playerindex,view.87.actionindex,view.87.duration,view.87.startTime,view.88.playerindex,view.88.actionindex,view.88.duration,view.88.startTime,view.89.playerindex,view.89.actionindex,view.89.duration,view.89.startTime,questionRound.0.question.0.answer,questionRound.0.question.1.answer,questionRound.0.question.2.answer,questionRound.0.question.3.answer,questionRound.0.question.4.answer,questionRound.0.question.5.answer,questionRound.0.question.6.answer,questionRound.0.question.7.answer,questionRound.0.question.8.answer,questionRound.0.question.9.answer
9,1,0,0,0,20,SIMULTANEOUS,Orange,2,1,35895,0,1,1,0,1,3,0,1,3,2,0,405,5226,2,1,874,5943,2,2,250,7066,2,3,390,7519,2,2,3104,8112,2,0,218,11450,2,2,187,11871,3,0,500,16660,3,1,499,17737,3,3,281,18439,3,2,343,19094,3,2,265,19921,3,3,405,20358,3,2,187,21044,3,0,109,21481,3,1,405,21793,3,2,125,22448,3,3,3588,22791,2,2,468,26988,2,3,2387,27674,2,2,1248,30342,2,0,140,31808,2,1,265,32120,2,2,1248,32557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,0,0,5,12,SIMULTANEOUS,Red,0,0,15320,0,1,1,0,1,3,0,1,3,0,0,905,4540,0,1,344,5772,0,3,390,6412,0,3,375,7067,0,2,2574,7582,0,0,219,10421,0,1,1685,10858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,0,0,10,20,SIMULTANEOUS,Green,1,1,25880,0,1,1,0,1,3,0,1,3,1,0,577,4758,1,1,234,5475,1,2,218,5928,1,3,172,6271,1,1,172,6723,1,0,140,7207,1,2,218,7519,1,3,125,8018,1,1,140,8346,2,0,468,11918,2,1,141,12495,2,2,172,12885,2,3,265,13213,2,0,156,13681,2,1,141,13977,2,2,172,14305,2,3,343,14633,1,0,93,15522,1,1,172,15849,1,2,141,16239,1,3,203,16567,2,0,156,17160,2,1,172,17456,2,2,141,17846,,2,3,265,18205,2,2,125,19188,2,1,140,19500,2,0,140,19859,2,3,140,20202,2,2,109,20483,2,1,94,21231,1,1,577,21824,1,1,296,22745,1,0,172,23415,1,3,234,23946,1,2,515,24367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,0,0,11,20,SIMULTANEOUS,Blue,3,0,13385,0,1,1,0,1,3,0,1,3,3,0,421,4664,3,2,640,5397,3,1,328,8564,3,1,124,9173,3,0,172,9422,3,1,125,9906,3,3,187,10187,3,2,266,10545,3,2,203,11856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,0,1,2,4,SIMULTANEOUS,Green,1,0,29079,0,0,1,0,1,3,0,1,3,2,0,1467,8346,2,2,4181,10437,1,2,2075,15569,1,3,453,18143,1,0,422,19032,1,1,5211,19812,1,1,437,25990,1,0,452,26692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,0,1,6,20,SIMULTANEOUS,Blue,3,0,95612,0,0,1,0,1,3,0,1,3,3,0,296,5663,3,1,406,6271,3,3,218,6989,3,2,1404,7425,2,1,265,9906,2,3,250,10358,2,0,125,10904,2,2,4649,11232,1,1,141,17565,1,0,702,18221,2,0,156,21341,2,2,203,21746,2,1,109,22620,2,3,514,22979,3,0,156,24008,3,1,421,24523,3,0,344,25365,3,2,1591,25943,3,0,140,27737,3,1,718,28095,3,2,125,29250,3,3,1669,29593,3,2,171,31403,3,3,140,31746,,2,1,93,32339,2,3,312,32651,2,2,78,33587,2,0,780,33899,2,2,406,35708,3,3,234,36457,3,2,312,36894,2,1,219,37502,2,3,515,37923,2,0,218,38797,2,2,2090,39234,2,0,312,41465,3,0,250,42260,3,1,967,42713,2,1,172,45879,2,3,484,46238,1,0,234,47689,1,2,577,48188,1,0,156,49421,1,2,265,49811,1,1,171,50669,1,3,1076,51121,1,1,249,52338,1,3,640,52837,1,0,140,53945,1,2,296,54241,1,1,110,54771,1,3,437,55068,2,2,94,56019,2,3,920,56238,2,2,1529,57486,3,0,234,61043,3,1,265,61542,3,3,281,62041,3,2,812,62571,0,2,219,65426,0,3,1545,65894,0,0,156,67735,0,1,312,68031,0,2,234,68702,0,3,375,69170,0,0,188,69825,0,1,187,70418,0,2,2,0,0,343,72930,0,1,1591,73663,0,0,375,75753,0,1,468,76377,0,2,328,77173,0,3,811,77813,0,0,359,78873,0,1,312,79419,0,2,141,79887,0,3,998,80215,3,0,281,84942,3,1,405,85488,3,0,156,86393,3,1,203,86689,3,2,187,87313,3,3,530,87750,3,2,327,88811,3,3,2293,89388,3,2,141,92024,3,0,125,92383,3,1,109,92695,3,2,140,93023,3,3,920,93335,,,,,,,,,,
9,1,0,1,7,20,SIMULTANEOUS,Orange,2,1,55427,0,0,1,0,1,3,0,1,3,2,1,453,4789,2,0,328,5647,2,2,327,6334,2,3,468,7005,2,2,156,7722,2,0,93,8128,2,1,172,8471,2,2,811,9173,2,3,234,10561,2,0,109,11045,2,1,140,11357,2,2,1045,12028,3,2,296,17878,3,0,421,18674,3,1,171,19454,3,3,125,19859,3,2,546,20343,3,3,1373,21372,3,2,764,23104,3,2,234,27222,3,3,78,27924,3,2,827,31528,2,2,78,33821,2,3,125,34164,,2,1,78,34554,2,0,93,34851,3,2,109,41684,3,0,109,42011,3,2,250,43072,2,2,343,43868,2,3,764,44492,2,1,172,45630,2,0,62,46208,3,0,78,46785,3,1,94,47112,3,3,94,47424,3,2,78,47814,2,3,359,48766,2,2,281,49390,2,3,156,52588,2,2,78,52931,2,0,94,53212,2,1,109,53555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,0,1,8,28,SIMULTANEOUS,Red,0,0,14696,0,0,1,0,1,3,0,1,3,0,0,1451,5663,0,1,483,7395,0,2,436,8144,0,3,531,8814,0,0,3182,9610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,0,2,1,4,SIMULTANEOUS,Green,1,0,17409,1,0,1,0,1,3,0,1,3,1,0,343,4337,1,1,297,4976,1,2,1701,5709,1,3,670,7925,1,0,187,8970,1,1,234,9422,1,2,281,9921,1,3,359,10826,1,1,1123,11653,1,0,265,13073,1,2,187,13572,1,3,171,14040,1,1,717,14477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,0,2,3,26,SIMULTANEOUS,Blue,3,0,16661,1,0,1,0,1,3,0,1,3,3,0,764,5086,3,2,827,6022,3,1,499,7083,3,3,592,7863,2,3,281,9906,2,1,234,10374,2,0,203,10842,2,2,172,11232,1,1,234,11778,1,3,203,12199,1,0,172,12683,1,2,281,13073,0,1,203,13822,0,3,156,14196,0,0,125,14602,0,2,218,14992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
